Duration,Clicks_Plus_Leads,Clicks,Leads,Revenue
21,9772,6156,3616,1867515
18,5292,3321,1971,1046247
23,3134,2182,952,197055
18,10644,8413,2231,376906
10,5803,3743,2060,518296
26,9558,7497,2061,877020
21,7407,5534,1873,633402
6,4153,2665,1488,326525
27,13711,8680,5031,1058665
11,7884,6284,1600,603174
5,2136,1556,580,121550
7,6759,5623,1136,286874
29,828,570,258,128466
14,5534,3749,1785,441800
5,4133,2591,1542,240697
23,1952,1511,441,33654
27,7230,4886,2344,263750
28,2587,1659,928,187186
7,2104,1510,594,261800
21,9583,7847,1736,715377
27,1741,1217,524,111981
22,4269,3508,761,155540
9,4761,3139,1622,629652
9,6348,4985,1363,632040
21,14819,10679,4140,1537536
25,11027,8911,2116,441232
29,6525,4994,1531,226568
15,15408,10110,5298,1220652
15,5822,3943,1879,458044
26,1451,1079,372,56908
18,13865,9525,4340,652422
7,16905,13114,3791,366610
17,8411,6488,1923,243286
19,4897,3309,1588,346872
22,2423,1719,704,101928
11,714,478,236,108471
19,2250,1503,747,101218
6,9121,7219,1902,339235
6,3630,2631,999,198925
6,3191,2418,773,207142
29,1276,864,412,127075
7,19065,12738,6327,631590
7,16604,11237,5367,910547
30,3732,2753,979,371280
29,6583,4977,1606,370311
12,6033,3932,2101,1027458
24,9130,5831,3299,509085
5,1750,1268,482,104304
22,4939,3905,1034,344540
14,3126,2215,911,358408
30,14643,9449,5194,839800
16,10011,6551,3460,810385
12,7713,5691,2022,579576
14,9494,6461,3033,995638
12,3181,2124,1057,232224
16,12594,8932,3662,721370
11,11265,8840,2425,846486
27,7426,5590,1836,343088
28,2371,1700,671,235698
12,4931,3169,1762,803382
12,8251,6086,2165,1201218
5,3139,2154,985,248376
20,5539,4194,1345,323268
8,11982,9646,2336,643692
13,1123,819,304,137150
25,1600,1039,561,154882
29,1753,1240,513,166634
6,3745,2948,797,237170
26,5143,3712,1431,427950
20,2201,1717,484,137225
21,11710,7764,3946,502554
11,12006,8178,3828,280024
17,7960,5735,2225,1170680
17,1946,1545,401,68478
11,10314,7838,2476,541451
