Clicks_Plus_Leads,Clicks,Leads,Revenue
9772,6156,3616,1867515
5292,3321,1971,1046247
3134,2182,952,197055
10644,8413,2231,376906
5803,3743,2060,518296
9558,7497,2061,877020
7407,5534,1873,633402
4153,2665,1488,326525
13711,8680,5031,1058665
7884,6284,1600,603174
2136,1556,580,121550
6759,5623,1136,286874
828,570,258,128466
5534,3749,1785,441800
4133,2591,1542,240697
1952,1511,441,33654
7230,4886,2344,263750
2587,1659,928,187186
2104,1510,594,261800
9583,7847,1736,715377
1741,1217,524,111981
4269,3508,761,155540
4761,3139,1622,629652
6348,4985,1363,632040
14819,10679,4140,1537536
11027,8911,2116,441232
6525,4994,1531,226568
15408,10110,5298,1220652
5822,3943,1879,458044
1451,1079,372,56908
13865,9525,4340,652422
16905,13114,3791,366610
8411,6488,1923,243286
4897,3309,1588,346872
2423,1719,704,101928
714,478,236,108471
2250,1503,747,101218
9121,7219,1902,339235
3630,2631,999,198925
3191,2418,773,207142
1276,864,412,127075
19065,12738,6327,631590
16604,11237,5367,910547
3732,2753,979,371280
6583,4977,1606,370311
6033,3932,2101,1027458
9130,5831,3299,509085
1750,1268,482,104304
4939,3905,1034,344540
3126,2215,911,358408
14643,9449,5194,839800
10011,6551,3460,810385
7713,5691,2022,579576
9494,6461,3033,995638
3181,2124,1057,232224
12594,8932,3662,721370
11265,8840,2425,846486
7426,5590,1836,343088
2371,1700,671,235698
4931,3169,1762,803382
8251,6086,2165,1201218
3139,2154,985,248376
5539,4194,1345,323268
11982,9646,2336,643692
1123,819,304,137150
1600,1039,561,154882
1753,1240,513,166634
3745,2948,797,237170
5143,3712,1431,427950
2201,1717,484,137225
11710,7764,3946,502554
12006,8178,3828,280024
7960,5735,2225,1170680
1946,1545,401,68478
10314,7838,2476,541451
10630,6658,3972,1636110
7996,6057,1939,799680
1452,1091,361,45030
1354,905,449,75504
5572,4531,1041,546871
9526,7614,1912,719422
5491,3864,1627,318435
1561,1093,468,73272
2561,1848,713,111294
5778,4362,1416,291456
1626,1352,274,42075
3820,2768,1052,511695
3707,2478,1229,311892
8116,6175,1941,461032
2550,1844,706,72772
11213,7278,3935,790938
4530,2906,1624,690116
1606,1239,367,124800
648,459,189,60960
1327,1058,269,23352
8914,7231,1683,311762
2684,1814,870,232750
4811,3700,1111,366876
6024,3852,2172,460992
2747,2049,698,161616
4740,3729,1011,642390
13091,9000,4091,507500
8778,6034,2744,441037
4447,3704,743,286615
8516,5722,2794,742045
15473,10859,4614,1381794
3849,2873,976,240656
5622,3754,1868,399408
2430,1911,519,180405
2125,1590,535,143104
8375,5488,2887,739370
1270,917,353,133096
3368,2193,1175,555427
9836,6830,3006,1403669
9571,7110,2461,432178
15952,10510,5442,1539720
14420,9825,4595,1717472
7665,6065,1600,324951
6137,3888,2249,407584
5454,3423,2031,884994
12363,10026,2337,913952
3097,2001,1096,402752
11657,8071,3586,885866
4088,2626,1462,623368
4441,2989,1452,625822
883,637,246,33522
1497,1025,472,118558
3237,2372,865,368530
4502,3511,991,223231
3485,2360,1125,453840
3326,2327,999,100956
1034,656,378,80073
9056,6219,2837,536130
2271,1641,630,279440
12901,9077,3824,851044
15504,11125,4379,1056020
2603,2154,449,195200
1628,1157,471,98530
4946,3187,1759,385782
3451,2511,940,199640
13502,8506,4996,2249856
8385,5609,2776,518331
4797,3293,1504,716764
5357,4351,1006,403062
743,530,213,118872
7678,5423,2255,724828
3890,2689,1201,351648
3517,2552,965,433936
3719,2432,1287,304326
12892,9920,2972,1410136
8308,5342,2966,806586
2716,2086,630,286467
5754,4666,1088,489228
2426,1953,473,126618
1681,1182,499,244644
7264,4578,2686,426537
4278,3248,1030,159375
6929,4526,2403,698190
5768,4315,1453,454860
5812,4262,1550,503040
10558,7705,2853,1505175
729,517,212,24182
12708,8372,4336,659208
2328,1861,467,69454
5230,3681,1549,326600
2137,1661,476,221801
3958,2630,1328,389550
1944,1517,427,151495
5811,4172,1639,575856
4302,3095,1207,203280
7833,6270,1563,367524
9877,6537,3340,530803
7618,5999,1619,208555
6109,4147,1962,605077
8661,6115,2546,486380
11095,8468,2627,313794
6374,5221,1153,255717
2977,2135,842,315296
11488,8987,2501,299065
4075,3288,787,308842
3304,2515,789,280988
2240,1598,642,208260
1268,1025,243,96690
11179,7279,3900,1056572
9524,6390,3134,1134870
684,556,128,42123
17393,14022,3371,824733
4872,3250,1622,750735
5871,4033,1838,1121988
4700,3377,1323,179172
2355,1581,774,89392
1608,1029,579,234906
14112,11028,3084,1186224
6106,4951,1155,464546
19227,13901,5326,1491387
2249,1532,717,111100
9048,5797,3251,1369640
5176,4124,1052,110489
10855,7720,3135,723250
1879,1381,498,101413
3996,3296,700,241299
5683,3992,1691,584065
3263,2209,1054,509565
1479,1179,300,23504
11094,8778,2316,373096
8047,5248,2799,506081
4433,3404,1029,144666
6882,4982,1900,535398
3012,1996,1016,142641
2069,1321,748,186732
16549,13210,3339,1003200
4524,2876,1648,726390
1408,1035,373,59072
10701,7497,3204,384356
9446,7302,2144,713460
14052,11114,2938,326970
2384,1805,579,315100
2703,1928,775,171390
933,715,218,82600
10860,7884,2976,1228466
825,682,143,41292
1890,1539,351,40200
3952,2927,1025,245244
1384,1027,357,119081
7099,5786,1313,164640
6208,4538,1670,447810
14147,10884,3263,454260
23744,14868,8876,2827524
963,796,167,69531
5724,3810,1914,220499
10465,6866,3599,666582
3251,2269,982,285670
3982,3194,788,114056
15319,12169,3150,703009
3971,2511,1460,677768
10604,6860,3744,1024128
10974,7760,3214,866184
